KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,人口総数,男,女,世帯総数
28101,1,神戸市東灘区,,0,,,213562,99420,114142,102465
281010010,3,神戸市東灘区,魚崎北町,0,,,6989,3335,3654,3294
28101001001,4,神戸市東灘区,魚崎北町一丁目,0,,,917,469,448,464
28101001002,4,神戸市東灘区,魚崎北町二丁目,0,,,612,288,324,272
28101001003,4,神戸市東灘区,魚崎北町三丁目,0,,,572,284,288,251
28101001004,4,神戸市東灘区,魚崎北町四丁目,0,,,1558,706,852,710
28101001005,4,神戸市東灘区,魚崎北町五丁目,0,,,1060,517,543,533
28101001006,4,神戸市東灘区,魚崎北町六丁目,0,,,1217,586,631,585
28101001007,4,神戸市東灘区,魚崎北町七丁目,0,,,639,291,348,278
28101001008,4,神戸市東灘区,魚崎北町八丁目,0,,,414,194,220,201
281010020,3,神戸市東灘区,魚崎中町,0,,,4321,2078,2243,2149
28101002001,4,神戸市東灘区,魚崎中町一丁目,0,,,1113,526,587,592
28101002002,4,神戸市東灘区,魚崎中町二丁目,0,,,1327,628,699,601
28101002003,4,神戸市東灘区,魚崎中町三丁目,0,,,803,385,418,365
28101002004,4,神戸市東灘区,魚崎中町四丁目,0,,,1078,539,539,591
281010030,3,神戸市東灘区,魚崎西町,0,,,2931,1394,1537,1363
28101003001,4,神戸市東灘区,魚崎西町一丁目,0,,,374,189,185,190
28101003002,4,神戸市東灘区,魚崎西町二丁目,0,,,1349,626,723,516
28101003003,4,神戸市東灘区,魚崎西町三丁目,0,,,336,173,163,193
28101003004,4,神戸市東灘区,魚崎西町四丁目,0,,,872,406,466,464
281010040,2,神戸市東灘区,魚崎浜町,0,,,62,54,8,14
281010050,3,神戸市東灘区,魚崎南町,0,,,9545,4586,4959,4512
28101005001,4,神戸市東灘区,魚崎南町一丁目,0,,,685,325,360,359
28101005002,4,神戸市東灘区,魚崎南町二丁目,0,,,1725,835,890,855
28101005003,4,神戸市東灘区,魚崎南町三丁目,0,,,1775,867,908,826
28101005004,4,神戸市東灘区,魚崎南町四丁目,0,,,917,446,471,386
28101005005,4,神戸市東灘区,魚崎南町五丁目,0,,,2523,1168,1355,1063
28101005006,4,神戸市東灘区,魚崎南町六丁目,0,,,402,180,222,243
28101005007,4,神戸市東灘区,魚崎南町七丁目,0,,,775,402,373,402
28101005008,4,神戸市東灘区,魚崎南町八丁目,0,,,743,363,380,378
281010060,3,神戸市東灘区,渦森台,0,,,2864,1274,1590,1419
28101006001,4,神戸市東灘区,渦森台一丁目,0,,,214,93,121,103
28101006002,4,神戸市東灘区,渦森台二丁目,0,,,1629,723,906,877
28101006003,4,神戸市東灘区,渦森台三丁目,0,,,448,196,252,194
28101006004,4,神戸市東灘区,渦森台四丁目,0,,,573,262,311,245
281010070,3,神戸市東灘区,青木,0,,,5731,2783,2948,2767
28101007001,4,神戸市東灘区,青木一丁目,0,,,-,-,-,-
28101007002,4,神戸市東灘区,青木二丁目,0,,,2098,1020,1078,975
28101007003,4,神戸市東灘区,青木三丁目,0,,,569,281,288,215
28101007004,4,神戸市東灘区,青木四丁目,0,,,439,187,252,222
28101007005,4,神戸市東灘区,青木五丁目,0,,,1543,781,762,778
28101007006,4,神戸市東灘区,青木六丁目,0,,,1082,514,568,577
281010080,3,神戸市東灘区,岡本,0,,,9590,4277,5313,4767
28101008001,4,神戸市東灘区,岡本一丁目,0,,,1088,484,604,677
28101008002,4,神戸市東灘区,岡本二丁目,0,,,1167,495,672,651
28101008003,4,神戸市東灘区,岡本三丁目,0,,,1703,773,930,831
28101008004,4,神戸市東灘区,岡本四丁目,0,,,949,401,548,406
28101008005,4,神戸市東灘区,岡本五丁目,0,,,817,363,454,404
28101008006,4,神戸市東灘区,岡本六丁目,0,,,891,374,517,407
28101008007,4,神戸市東灘区,岡本七丁目,0,,,1563,728,835,770
28101008008,4,神戸市東灘区,岡本八丁目,0,,,878,410,468,368
28101008009,4,神戸市東灘区,岡本九丁目,0,,,534,249,285,253
281010090,3,神戸市東灘区,鴨子ケ原,0,,,3682,1656,2026,1569
28101009001,4,神戸市東灘区,鴨子ケ原一丁目,0,,,588,267,321,243
28101009002,4,神戸市東灘区,鴨子ケ原二丁目,0,,,1686,732,954,709
28101009003,4,神戸市東灘区,鴨子ケ原三丁目,0,,,1408,657,751,617
281010100,3,神戸市東灘区,北青木,0,,,6087,2898,3189,2899
28101010001,4,神戸市東灘区,北青木一丁目,0,,,923,381,542,453
28101010002,4,神戸市東灘区,北青木二丁目,0,,,1561,736,825,728
28101010003,4,神戸市東灘区,北青木三丁目,0,,,1822,893,929,891
28101010004,4,神戸市東灘区,北青木四丁目,0,,,1781,888,893,827
281010110,2,神戸市東灘区,甲南台,0,,,350,155,195,139
281010120,3,神戸市東灘区,甲南町,0,,,5705,2650,3055,2968
28101012001,4,神戸市東灘区,甲南町一丁目,0,,,1147,468,679,542
28101012002,4,神戸市東灘区,甲南町二丁目,0,,,875,415,460,497
28101012003,4,神戸市東灘区,甲南町三丁目,0,,,1451,703,748,784
28101012004,4,神戸市東灘区,甲南町四丁目,0,,,1811,882,929,912
